pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.22	9	2249	249.89
9.60	4.08	10	2448	244.80
9.30	3.85	11	2995	272.27
9.00	3.61	11	3024	274.91
8.70	3.34	12	3218	268.17
8.40	3.18	19	5319	279.95
8.10	3.02	23	6301	273.96
7.80	2.80	25	6822	272.88
7.50	2.54	29	7679	264.79
7.20	2.27	32	8334	260.44
6.90	2.21	69	16853	244.25
6.60	2.01	87	20586	236.62
6.30	1.80	109	25485	233.81
6.00	1.53	120	27843	232.03
5.70	1.37	216	48740	225.65
5.40	1.31	253	56529	223.43
5.10	1.13	377	82740	219.47
4.80	0.87	397	87625	220.72
4.50	0.70	814	179771	220.85
4.20	0.70	1144	251996	220.28
3.90	0.65	1614	355973	220.55
3.60	0.39	1733	382943	220.97
3.30	0.25	6563	1508144	229.79
3.00	0.25	13730	3195053	232.71
2.70	0.25	16342	3808037	233.02
2.40	0.13	20868	4892740	234.46
2.10	0.04	119760	31677868	264.51
1.80	0.04	212759	57847377	271.89
1.50	0.04	268205	74065342	276.15
1.20	0.00	1022369	375450050	367.24
0.90	0.00	1659343	695627842	419.22
0.60	0.00	1809133	794946733	439.41
0.30	0.00	174783	2950032921	16878.26
