pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.95	96	25963	270.45
9.60	4.67	98	26868	274.16
9.30	4.40	99	27511	277.89
9.00	4.12	100	28401	284.01
8.70	3.83	104	29497	283.62
8.40	3.55	110	31538	286.71
8.10	3.29	113	32690	289.29
7.80	3.01	118	34294	290.63
7.50	2.74	127	37071	291.90
7.20	2.45	130	37923	291.72
6.90	2.22	144	43015	298.72
6.60	1.96	158	47034	297.68
6.30	1.68	166	48878	294.45
6.00	1.47	183	53993	295.04
5.70	1.27	211	61325	290.64
5.40	1.00	223	64530	289.37
5.10	0.81	260	73880	284.15
4.80	0.75	297	84168	283.39
4.50	0.55	327	91891	281.01
4.20	0.34	527	135541	257.19
3.90	0.34	831	202167	243.28
3.60	0.31	1061	252259	237.76
3.30	0.13	3147	706057	224.36
3.00	0.13	6227	1389283	223.11
2.70	0.13	8761	1949672	222.54
2.40	0.04	37106	8709383	234.72
2.10	0.04	62685	14905622	237.79
1.80	0.00	151525	38823341	256.22
1.50	0.00	337535	92855312	275.10
1.20	0.00	498092	142005760	285.10
0.90	0.00	1281892	467276277	364.52
0.60	0.00	1971456	953728035	483.77
0.30	0.00	2082115	1801887014	865.41
