pscore	qscore	npeaks	lpeaks	avelpeak
9.90	3.82	5	2016	403.20
9.60	3.52	5	2019	403.80
9.30	3.23	5	2024	404.80
9.00	2.95	5	2024	404.80
8.70	2.69	7	2541	363.00
8.40	2.41	7	2541	363.00
8.10	2.17	7	2596	370.86
7.80	1.92	7	2607	372.43
7.50	1.66	7	2660	380.00
7.20	1.41	7	2735	390.71
6.90	1.32	9	3073	341.44
6.60	1.12	9	3080	342.22
6.30	0.89	9	3090	343.33
6.00	0.72	9	3115	346.11
5.70	0.72	13	3805	292.69
5.40	0.56	14	4018	287.00
5.10	0.32	28	7354	262.64
4.80	0.32	52	12039	231.52
4.50	0.32	67	14898	222.36
4.20	0.17	105	22278	212.17
3.90	0.17	471	91888	195.09
3.60	0.17	693	133964	193.31
3.30	0.11	3241	647581	199.81
3.00	0.11	5645	1136756	201.37
2.70	0.09	8263	1670329	202.15
2.40	0.03	35897	7779602	216.72
2.10	0.03	57317	12606552	219.94
1.80	0.00	94472	21191682	224.32
1.50	0.00	340875	86870723	254.85
1.20	0.00	513131	135971227	264.98
0.90	0.00	1321315	444932779	336.73
0.60	0.00	2081801	980372063	470.92
0.30	0.00	2301476	1706727793	741.58
