pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.08	8	1983	247.88
9.60	3.80	8	2048	256.00
9.30	3.59	11	2677	243.36
9.00	3.35	11	2683	243.91
8.70	3.13	13	3116	239.69
8.40	2.87	13	3121	240.08
8.10	2.59	14	3329	237.79
7.80	2.49	20	5153	257.65
7.50	2.28	23	5748	249.91
7.20	2.08	29	7045	242.93
6.90	1.81	30	7439	247.97
6.60	1.61	50	11394	227.88
6.30	1.57	64	14435	225.55
6.00	1.40	94	20166	214.53
5.70	1.15	107	22624	211.44
5.40	0.90	173	36358	210.16
5.10	0.90	248	51643	208.24
4.80	0.88	359	74024	206.19
4.50	0.63	396	81461	205.71
4.20	0.45	956	198244	207.37
3.90	0.45	1787	372462	208.43
3.60	0.45	2296	479427	208.81
3.30	0.31	2974	622099	209.18
3.00	0.16	12022	2653487	220.72
2.70	0.16	25084	5625290	224.26
2.40	0.16	35891	8119081	226.21
2.10	0.02	111190	27936818	251.25
1.80	0.02	279018	74299503	266.29
1.50	0.02	390700	106521864	272.64
1.20	0.00	848852	287875871	339.14
0.90	0.00	1840089	783194150	425.63
0.60	0.00	2037164	919381852	451.30
0.30	0.00	430431	2865258247	6656.72
