pscore	qscore	npeaks	lpeaks	avelpeak
9.90	3.54	4	775	193.75
9.60	3.26	4	776	194.00
9.30	2.97	4	782	195.50
9.00	2.68	4	784	196.00
8.70	2.46	4	788	197.00
8.40	2.19	4	789	197.25
8.10	1.93	4	805	201.25
7.80	1.69	5	1025	205.00
7.50	1.51	5	1030	206.00
7.20	1.30	5	1035	207.00
6.90	1.11	5	1104	220.80
6.60	0.99	6	1319	219.83
6.30	0.86	6	1328	221.33
6.00	0.67	7	1653	236.14
5.70	0.55	11	2454	223.09
5.40	0.55	15	3238	215.87
5.10	0.44	16	3494	218.38
4.80	0.35	49	9930	202.65
4.50	0.35	73	15007	205.58
4.20	0.31	138	28406	205.84
3.90	0.20	485	99410	204.97
3.60	0.20	857	174734	203.89
3.30	0.20	1775	365423	205.87
3.00	0.09	5364	1142214	212.94
2.70	0.09	12859	2799542	217.71
2.40	0.03	16802	3673815	218.65
2.10	0.00	64475	15131508	234.69
1.80	0.00	113975	27647561	242.58
1.50	0.00	317686	85893035	270.37
1.20	0.00	582525	168903762	289.95
0.90	0.00	1220349	432898812	354.73
0.60	0.00	1841551	784149058	425.81
0.30	0.00	2135958	1747014243	817.91
