pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.15	182	42699	234.61
9.60	4.87	190	44804	235.81
9.30	4.58	196	46258	236.01
9.00	4.29	199	47192	237.15
8.70	4.00	204	48867	239.54
8.40	3.73	214	52393	244.83
8.10	3.44	217	53404	246.10
7.80	3.16	225	55655	247.36
7.50	2.88	233	57842	248.25
7.20	2.61	239	60307	252.33
6.90	2.33	248	62748	253.02
6.60	2.06	253	64649	255.53
6.30	1.81	266	68810	258.68
6.00	1.55	287	73566	256.33
5.70	1.30	307	78433	255.48
5.40	1.03	340	85872	252.56
5.10	0.88	363	91713	252.65
4.80	0.71	407	101892	250.35
4.50	0.47	422	106183	251.62
4.20	0.42	642	152352	237.31
3.90	0.39	839	191730	228.52
3.60	0.18	979	221093	225.84
3.30	0.14	3334	678146	203.40
3.00	0.14	5201	1043742	200.68
2.70	0.01	6546	1305360	199.41
2.40	0.00	33671	6936099	206.00
2.10	0.00	52058	10810014	207.65
1.80	0.00	164276	37081608	225.73
1.50	0.00	325662	77576978	238.21
1.20	0.00	751697	205946764	273.98
0.90	0.00	1364496	428391555	313.96
0.60	0.00	2224117	979649622	440.47
0.30	0.00	2409270	1738453795	721.57
