pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.16	17034	5165886	303.27
9.60	6.87	17232	5254977	304.95
9.30	6.57	17380	5324309	306.35
9.00	6.28	17801	5517748	309.97
8.70	5.99	17945	5588980	311.45
8.40	5.70	18167	5697578	313.62
8.10	5.41	18630	5924140	317.99
7.80	5.12	18823	6020915	319.87
7.50	4.83	19132	6160258	321.99
7.20	4.54	19686	6428654	326.56
6.90	4.25	19881	6542889	329.10
6.60	3.96	20287	6762042	333.32
6.30	3.67	20662	6962200	336.96
6.00	3.39	21218	7235396	341.00
5.70	3.11	21911	7596982	346.72
5.40	2.82	22243	7772734	349.45
5.10	2.54	22989	8151781	354.59
4.80	2.26	23826	8611571	361.44
4.50	1.98	24390	8917056	365.60
4.20	1.72	25828	9639164	373.21
3.90	1.45	26984	10210721	378.40
3.60	1.17	27926	10681067	382.48
3.30	0.94	31148	12087421	388.06
3.00	0.71	34842	13617154	390.83
2.70	0.55	44429	16974469	382.06
2.40	0.35	55172	20507160	371.70
2.10	0.14	92327	31508888	341.27
1.80	0.13	145520	47271378	324.84
1.50	0.00	190516	61890007	324.85
1.20	0.00	550313	178906353	325.10
0.90	0.00	995995	361977639	363.43
0.60	0.00	1680269	714694136	425.35
0.30	0.00	2092764	1666611068	796.37
