pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.58	4567	950354	208.09
9.60	6.30	4857	1019597	209.92
9.30	6.01	4976	1049240	210.86
9.00	5.73	5293	1124014	212.36
8.70	5.44	5440	1159379	213.12
8.40	5.16	5839	1259418	215.69
8.10	4.87	6076	1318848	217.06
7.80	4.59	6330	1385263	218.84
7.50	4.32	6835	1514368	221.56
7.20	4.03	7023	1564773	222.81
6.90	3.74	7360	1652896	224.58
6.60	3.46	7664	1735237	226.41
6.30	3.19	8187	1884098	230.13
6.00	2.91	8573	1991995	232.36
5.70	2.62	8872	2078706	234.30
5.40	2.36	9518	2276508	239.18
5.10	2.08	9989	2419989	242.27
4.80	1.80	10373	2538454	244.72
4.50	1.56	11456	2881249	251.51
4.20	1.29	11994	3061019	255.21
3.90	1.01	12350	3179580	257.46
3.60	0.86	14559	3861665	265.24
3.30	0.62	15563	4162725	267.48
3.00	0.37	17058	4595461	269.40
2.70	0.37	28016	7347867	262.27
2.40	0.16	32906	8556420	260.03
2.10	0.10	89280	22483888	251.84
1.80	0.06	125338	31489917	251.24
1.50	0.00	364056	99432808	273.13
1.20	0.00	583091	164685707	282.44
0.90	0.00	1300317	460923910	354.47
0.60	0.00	1925070	789342517	410.03
0.30	0.00	2145577	1822766720	849.55
