pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.29	25382	6774129	266.89
9.60	7.00	25693	6887152	268.06
9.30	6.71	26192	7073326	270.06
9.00	6.42	26443	7167607	271.06
8.70	6.13	27199	7433170	273.29
8.40	5.84	27819	7668033	275.64
8.10	5.55	28106	7774566	276.62
7.80	5.26	28915	8071658	279.15
7.50	4.98	29684	8359882	281.63
7.20	4.69	30188	8549357	283.20
6.90	4.41	31336	8979831	286.57
6.60	4.12	32072	9269975	289.04
6.30	3.83	32642	9490850	290.76
6.00	3.54	33250	9732090	292.69
5.70	3.27	35256	10499602	297.81
5.40	2.98	35858	10754698	299.92
5.10	2.70	36857	11164057	302.90
4.80	2.43	39394	12155350	308.56
4.50	2.15	40645	12676720	311.89
4.20	1.89	43490	13778469	316.82
3.90	1.62	46159	14872401	322.20
3.60	1.34	47825	15566303	325.48
3.30	1.11	53869	17900606	332.30
3.00	0.86	58163	19628587	337.48
2.70	0.61	62828	21394192	340.52
2.40	0.45	81178	27618498	340.22
2.10	0.22	98636	33171351	336.30
1.80	0.16	165492	52936251	319.87
1.50	0.01	246901	77258566	312.91
1.20	0.00	504027	157955586	313.39
0.90	0.00	805749	261791257	324.90
0.60	0.00	1786281	746988626	418.18
0.30	0.00	2171165	1663166858	766.03
