pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.42	31661	9299354	293.72
9.60	7.13	31957	9422126	294.84
9.30	6.84	32550	9662581	296.85
9.00	6.55	33167	9898972	298.46
8.70	6.25	33578	10059911	299.60
8.40	5.97	34406	10389999	301.98
8.10	5.67	34788	10537241	302.90
7.80	5.38	35450	10786928	304.29
7.50	5.10	36421	11169507	306.68
7.20	4.80	36946	11399222	308.54
6.90	4.52	37749	11730740	310.76
6.60	4.23	38748	12135667	313.19
6.30	3.94	39375	12407023	315.10
6.00	3.65	40393	12826775	317.55
5.70	3.37	41690	13361811	320.50
5.40	3.08	42709	13785630	322.78
5.10	2.80	43999	14304914	325.12
4.80	2.51	45418	14910905	328.30
4.50	2.23	46991	15577359	331.50
4.20	1.96	49265	16516882	335.27
3.90	1.68	51218	17366890	339.08
3.60	1.40	53668	18424932	343.31
3.30	1.13	57094	19857094	347.80
3.00	0.86	59876	21098699	352.37
2.70	0.61	65512	23410719	357.35
2.40	0.35	70310	25559684	363.53
2.10	0.09	76435	28333481	370.69
1.80	0.00	90037	33591723	373.09
1.50	0.00	103138	39182309	379.90
1.20	0.00	160288	58136265	362.70
0.90	0.00	192721	71296790	369.95
0.60	0.00	480786	166152896	345.59
0.30	0.00	1317753	515488949	391.19
