pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.36	16	5048	315.50
9.60	4.10	17	5293	311.35
9.30	3.87	18	5597	310.94
9.00	3.61	18	5611	311.72
8.70	3.32	18	5652	314.00
8.40	3.09	20	6038	301.90
8.10	2.91	23	6595	286.74
7.80	2.64	24	6818	284.08
7.50	2.40	25	7061	282.44
7.20	2.17	29	8028	276.83
6.90	2.01	40	10066	251.65
6.60	1.75	41	10306	251.37
6.30	1.58	52	12418	238.81
6.00	1.32	58	13769	237.40
5.70	1.25	93	20369	219.02
5.40	1.05	128	27770	216.95
5.10	0.83	145	31061	214.21
4.80	0.70	278	56668	203.84
4.50	0.69	367	74452	202.87
4.20	0.52	520	102873	197.83
3.90	0.31	1455	281662	193.58
3.60	0.31	2283	439621	192.56
3.30	0.31	3436	665766	193.76
3.00	0.12	12523	2514835	200.82
2.70	0.12	25245	5146678	203.87
2.40	0.12	33206	6793053	204.57
2.10	0.00	120241	26952922	224.16
1.80	0.00	217363	50440884	232.06
1.50	0.00	296644	70216050	236.70
1.20	0.00	998023	294581085	295.16
0.90	0.00	1318486	408851372	310.09
0.60	0.00	2352828	1209901700	514.23
0.30	0.00	2501863	1543716561	617.03
